CONCURSO;CARGO;MODALIDADE;NUMERO_VAGAS;DATA_HOMOLOGACAO;ULTIMA_VAGA_NOMEADA;DATA_ULTIMA_NOMEACAO;DATA_VENCIMENTO;PRORROGAVEL;OBSERVACAO
AGU;Procurador Federal;Ampla Concorrência;75;;;;;;
CAGE RS;Auditor do Estado;Ampla Concorrência;20;23/04/2025;22;15/07/2025;23/04/2025;TRUE;
CAGE RS;Auditor do Estado;Negro;5;23/04/2025;5;15/07/2025;23/04/2025;TRUE;
CÂMARA DOS DEPUTADOS;Analista Legislativo - Contador;Ampla Concorrência;2;15/05/2024;15;28/11/2025;15/05/2026;TRUE;
CÂMARA DOS DEPUTADOS;Analista Legislativo - Informática Legislativa;Ampla Concorrência;22;15/05/2024;45;29/12/2025;15/05/2026;TRUE;
CGE SC;Auditor do Estado - Ciências da Computação;Ampla Concorrência;14;08/08/2024;8;16/06/2026;08/08/2026;TRUE;
ISS BH;Auditor Fiscal de Tributos Municipais;Ampla Concorrência;10;08/08/2022;45;10/07/2026;08/08/2026;FALSE;
ISS BH;Auditor Fiscal de Tributos Municipais;Negros ou Pardos;3;08/08/2022;14;10/07/2026;08/08/2026;FALSE;
ISS BH;Auditor Fiscal de Tributos Municipais;PcD;1;08/08/2022;6;10/07/2026;08/08/2026;FALSE;
ISS CUIABÁ;Auditor Fiscal Tributário da Receita Municipal - Direito/Processo Tributário;Ampla Concorrência;2;25/04/2025;2;17/12/2025;25/04/2027;TRUE;
ISS CUIABÁ;Auditor Fiscal Tributário da Receita Municipal - Gestão Tributária;Ampla Concorrência;4;25/04/2025;4;17/12/2025;25/04/2027;TRUE;
ISS CUIABÁ;Auditor Fiscal Tributário da Receita Municipal - Tecnologia da Informação;Ampla Concorrência;2;25/04/2025;2;17/12/2025;25/04/2027;TRUE;
ISS FORTALEZA;Analista Fazendário Municipal - Administração;Ampla Concorrência;3;21/11/2023;3;28/12/2023;21/11/2027;FALSE;
ISS FORTALEZA;Analista Fazendário Municipal - Administração;Negro;1;21/11/2023;1;28/12/2023;21/11/2027;FALSE;
ISS FORTALEZA;Auditor do Tesouro Municipal;Ampla Concorrência;15;21/11/2023;15;28/12/2023;21/11/2027;FALSE;
ISS FORTALEZA;Auditor do Tesouro Municipal;Negro;4;21/11/2023;5;28/12/2023;21/11/2027;FALSE;
ISS RJ;Fiscal de Rendas;Ampla Concorrência;37;29/11/2023;32;30/03/2026;29/11/2027;FALSE;
ISS RJ;Fiscal de Rendas;Negro ou Indígena;10;29/11/2023;8;16/12/2025;29/11/2027;FALSE;
ISS SP;Auditor Fiscal Tributário Municipal – Gestão Tributária;Ampla Concorrência;37;21/03/2024;62;06/05/2024;21/03/2028;FALSE;
