UF;CH;Inicial;5_anos;10_anos;15_anos;Final
AC;30;23695.91;25971.04;28464.61;31197.61;34193.00
AL;40;26146.86;30411.42;32919.74;34256.35;36556.32
AM;40;29465.52;31747.60;34206.43;36855.69;39710.13
AP;40;24566.83;26699.30;29016.87;31535.62;34273.00
BA;40;25879.19;26766.93;30424.47;32334.32;32334.32
CE;40;23331.11;25340.07;27522.01;29891.84;32465.72
DF;30;27821.29;33496.88;37768.52;37768.52;37768.52
ES;40;23300.14;25385.30;27657.06;30132.12;32828.67
GO;40;24465.91;25294.79;28320.88;31607.92;36627.99
MA;30;25354.67;27087.76;28939.31;30917.43;33030.75
MG;40;23074.01;23483.01;24744.73;26136.09;30508.56
MS;40;45900.46;45900.46;45900.46;45900.46;45900.46
MT;40;34952.53;36424.36;37958.17;39556.57;41222.28
PA;30;39723.81;39723.81;39723.81;39723.81;39723.81
PB;35;22496.84;24553.48;26798.14;29248.00;31921.84
PE;30;32091.73;34581.92;37265.34;40156.98;43273.00
PI;30;31789.75;34554.64;37874.24;40291.41;40291.41
PR;40;21910.23;24774.29;29196.67;32576.86;32576.86
RJ;40;29389.48;33725.50;33725.50;37855.65;37855.65
RN;30;26841.79;28959.97;31391.35;37720.78;41949.95
RO;40;25508.24;27437.55;29512.80;31745.00;34146.03
RR;40;33773.00;33773.00;33773.00;33773.00;33773.00
RS;40;31411.39;31681.13;31953.19;32227.59;32504.35
SC;35;31411.63;33832.60;36440.15;39248.67;42273.64
SE;30;16500.08;20375.75;24769.80;27612.76;27664.55
SP;40;33368.61;34683.64;36043.32;37824.24;47672.61
TO;40;26643.24;28467.03;30483.10;35047.26;37683.41
